kind,name,state,lat,lon
zip,02806,,41.733037,-71.319676
zip,02807,,41.176783,-71.577054
zip,02808,,41.410654,-71.73851
zip,02809,,41.67573,-71.273331
zip,02812,,41.477712,-71.658167
zip,02813,,41.394216,-71.669822
zip,02814,,41.895784,-71.705238
zip,02815,,41.778591,-71.66239
zip,02816,,41.696499,-71.622662
zip,02817,,41.628605,-71.658874
zip,02818,,41.642919,-71.485719
zip,02822,,41.575313,-71.587124
zip,02823,,41.733362,-71.543668
zip,02824,,41.999441,-71.562125
zip,02825,,41.782067,-71.726833
zip,02826,,41.987043,-71.648018
zip,02827,,41.698748,-71.739118
zip,02828,,41.877692,-71.560911
zip,02829,,41.893373,-71.589036
zip,02830,,41.975622,-71.656388
zip,02831,,41.746418,-71.584915
zip,02832,,41.506767,-71.728006
zip,02833,,41.485769,-71.785311
zip,02835,,41.510088,-71.378366
zip,02836,,41.454039,-71.620233
zip,02837,,41.518769,-71.167247
zip,02838,,41.965413,-71.479359
zip,02839,,41.945128,-71.642556
zip,02840,,41.476681,-71.319627
zip,02841,,41.507459,-71.330024
zip,02842,,41.517086,-71.273419
zip,02852,,41.588565,-71.459811
zip,02857,,41.822761,-71.633605
zip,02858,,41.964154,-71.650109
zip,02859,,41.959073,-71.757323
zip,02860,,41.870562,-71.388681
zip,02861,,41.878603,-71.353131
zip,02863,,41.890064,-71.393481
zip,02864,,41.96746,-71.420572
zip,02865,,41.915455,-71.449815
zip,02871,,41.586609,-71.259211
zip,02872,,41.596965,-71.320932
zip,02873,,41.533129,-71.780545
zip,02874,,41.509056,-71.474417
zip,02875,,41.45937,-71.637829
zip,02876,,41.997213,-71.584405
zip,02878,,41.606983,-71.182634
zip,02879,,41.428836,-71.538376
zip,02881,,41.482429,-71.52651
zip,02882,,41.417088,-71.47227
zip,02885,,41.726404,-71.259027
zip,02886,,41.701615,-71.455217
zip,02888,,41.748233,-71.407942
zip,02889,,41.701286,-71.377971
zip,02891,,41.357774,-71.789616
zip,02892,,41.499451,-71.601574
zip,02893,,41.679601,-71.521114
zip,02894,,41.44425,-71.699304
zip,02895,,42.001708,-71.499947
zip,02896,,41.975186,-71.544069
